epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,2863.8,0.28286,0.18362,0.91522,0.82466,0.88196,0.91022,0.89054,0.20863,0.323,0.78879,0.0025255,0.0025255,0.0025255
153,2882.6,0.27497,0.17683,0.91241,0.81382,0.88292,0.91124,0.89071,0.21109,0.32685,0.79084,0.002476,0.002476,0.002476
154,2901.46,0.27523,0.18243,0.91025,0.84024,0.87291,0.91482,0.89309,0.21102,0.31487,0.79124,0.0024265,0.0024265,0.0024265
155,2920.21,0.27256,0.18061,0.90863,0.83773,0.89639,0.9189,0.89579,0.20992,0.30887,0.79153,0.002377,0.002377,0.002377
156,2938.99,0.27149,0.17933,0.91025,0.82316,0.90071,0.91748,0.89521,0.20583,0.29962,0.79022,0.0023275,0.0023275,0.0023275
157,2957.74,0.27604,0.18054,0.91237,0.83591,0.86745,0.91606,0.89388,0.20419,0.29579,0.78984,0.002278,0.002278,0.002278
158,2976.76,0.27732,0.17791,0.913,0.80802,0.89424,0.91705,0.89481,0.20417,0.29264,0.7893,0.0022285,0.0022285,0.0022285
159,2995.48,0.27004,0.17448,0.90691,0.80149,0.90283,0.91383,0.89145,0.20354,0.29792,0.7895,0.002179,0.002179,0.002179
160,3014.32,0.27347,0.1771,0.91062,0.884,0.80241,0.90831,0.8875,0.20262,0.30977,0.78927,0.0021295,0.0021295,0.0021295
161,3033.07,0.27225,0.17654,0.90838,0.78514,0.88907,0.90252,0.88031,0.20228,0.32385,0.78889,0.00208,0.00208,0.00208
162,3051.78,0.2716,0.17445,0.91045,0.79634,0.90342,0.90524,0.88321,0.20301,0.32007,0.78794,0.0020305,0.0020305,0.0020305
163,3070.78,0.26684,0.17562,0.90831,0.80446,0.90353,0.91094,0.88689,0.20373,0.31428,0.78822,0.001981,0.001981,0.001981
164,3089.68,0.26553,0.17685,0.90479,0.81187,0.91214,0.9149,0.89173,0.20482,0.30694,0.78871,0.0019315,0.0019315,0.0019315
165,3108.5,0.26879,0.17539,0.90924,0.8128,0.91949,0.91551,0.89281,0.20172,0.30378,0.78752,0.001882,0.001882,0.001882
